,site,region,category,disability_type,title,date,content,original_link,content_link,image
0,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,[채용] 정규직 직원 채용 재공고,2023.08.16,"우리 복지관에서는 붙임의 공고와 같이 정규직 직원을 채용하고자 하오니 많은 관심과 지원 바랍니다.
감사합니다. ",https://www.jgcrc.or.kr/notice/1122,https://www.jgcrc.or.kr/notice/1122,
1,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,"[모집중] 2023년 2차 베이킹 클래스 프로그램 「빵가, 빵가!」 참여자 모집",2023.08.14,"안녕하세요:)
2023년 2차 베이킹 클래스 프로그램 「빵가, 빵가!」(빵 만들러 가자!) 참여자를 
아래와 같이 모집합니다.

본 프로그램은 발달장애 아동·청소년과 부모 1인이 함께 참여하는 프로그램으로
반드시 부모 1인(활동보조인X, 지인X)이 자녀와 함께 프로그램에 참여하셔야 합니다.

이 점 반드시 참고하시어 프로그램에 신청해주시면 감사드리겠습니다.

■ 모집대상: 발달장애 아동·청소년(만6세~18세) 가족 ""총 6팀""

■ 모집기간
- 2023. 8. 14.(월) ~ 8. 25(금) 17:00
  ""온라인 선착순 접수""
  (모집 인원 초과 시, 대기 접수)

■ 참여자 선정: 8. 28.(월)
 - 1순위:신규 참여가족
 - 2순위:1차에 참여했던 참여가족
※ 1차에 참여했던 참여가족의 경우에는 2순위/선착순 배정할 예정이오니 양해 부탁드립니다!

■ 교육료: 총 30,000원(일시 납부)

■ 접수방법: 온라인 신청
① 포스터 오른쪽 하단에 위치한 QR코드 스캔 후 신청
② 복지관 카카오톡 홍보지 하단 ""신청하기"" 버튼 신청
③ 아래 링크를 통한 신청
https://forms.gle/uyhNwPibsskqXVD88

■ 프로그램 문의 
- 문화예술활동팀 이재홍 사회복지사
- TEL) 02-2235-8429",https://www.jgcrc.or.kr/notice/1119,https://www.jgcrc.or.kr/notice/1119,https://www.jgcrc.or.kr/bbs/view_image.php?bo_table=notice&fn=30684658_umJHpbY4_0b5c838a505986f4e22ae0c99bcf206766fc46e7.png
2,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,[모집중] 2023년 장애아동 양육코칭교육 프로그램 참여자 모집,2023.08.11,"안녕하세요:)
우리 자녀의 기질과 성격에 맞는 올바른 양육방법을 배워볼 수 있는
장애아동 양육코칭교육 프로그램의 참여자를 아래와 같이 모집합니다.

이번 장애아동 양육코칭교육에서는 전문 ""TCI기질/성격검사""를 통해 
장애를 가진 자녀와 그 외 가족구성원들의 기질/성격을 파악하고,
기질과 성격에 따른 올바른 양육방법을 배워보는 시간이 될 것으로 생각됩니다. 

프로그램 참여를 희망하시는 분께서는 참가 신청서, 개인정보 제공 및 이용 동의서 등을
빠짐없이 작성하시어 제출해주시기를 부탁드립니다.

<프로그램 내용>
■ 모집대상: 장애아동을 양육하는 보호자 총 10명

■ 모집기간
- 2023. 8. 11.(금) ~ 8. 18(금) 17:00
※ 온라인 선착순 접수 / 신청 인원 마감 시, 대기 접수

■ 교육기간
- 2023. 8. 22.(화) ~ 11. 14.(화) / 총 12회기
- 매주 화요일 오전 10:30 ~ 12:30

■ 교육료 : 무료

■ 접수방법: 온라인 신청
① 포스터 오른쪽 하단에 위치한 QR코드 스캔 후 신청
② 복지관 카카오톡 홍보지 하단 ""신청하기"" 버튼 신청
③ 아래 링크를 통한 신청
https://forms.gle/ekhZZ3AN9i3SYLUc8 

■ 프로그램 문의 
- 문화예술활동팀 이재홍 사회복지사
- TEL) 02-2235-8429",https://www.jgcrc.or.kr/notice/1117,https://www.jgcrc.or.kr/notice/1117,https://www.jgcrc.or.kr/bbs/view_image.php?bo_table=notice&fn=30684658_3qZWIH4R_8a172f57ece2fcef16d0808e6ad6005b0e560e30.png
3,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,[모집중] 2023년 장애아동 양육코칭교육 프로그램 강사 모집,2023.08.11,"서울특별시중구장애인복지관 문화예술활동팀에서는 붙임의 공고와 같이
2023년 장애아동 양육코칭교육 프로그램 강사를 채용하고자 합니다.
많은 관심과 지원 부탁드립니다. 감사합니다:)

■ 문의 : 문화예술활동팀 이재홍 사회복지사 (02-2235-8429)",https://www.jgcrc.or.kr/notice/1118,https://www.jgcrc.or.kr/notice/1118,
4,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,[모집중] 2023년 문화예술활동팀 프로그램 참여자 추가모집,2023.07.21,"안녕하세요):
문화예술활동팀에서는 2023년 '미술, 체육, 가족 프로그램' 참여자를 추가로 모집합니다.
위 내용을 확인하시고, 문의사항이 있으면 포스터 하단의 연락처로 전화주십시오!",https://www.jgcrc.or.kr/notice/1110,https://www.jgcrc.or.kr/notice/1110,https://www.jgcrc.or.kr/bbs/view_image.php?bo_table=notice&fn=30684658_s7gt0GCr_34b07bcc2424af67fb1e91704c1320783353b4b0.png
5,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,[서류전형결과발표] 정규직 직원 채용(작성일 2023-07-27 관련),2023.08.16,"1. 정규직 직원 채용 공고(작성일 2023-07-27)와 관련입니다.
2. 위 관련 근거에 의거하여, 이번 우리 복지관 정규직 직원 채용 서류 전형 결과를 아래와 같이 발표합니다.

 가. 서류 전형 합격자 : 적격자 없음

감사합니다.",https://www.jgcrc.or.kr/notice/1121,https://www.jgcrc.or.kr/notice/1121,
6,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,[모집마감] 청구동 기념일 8월 스콘 만들기 원데이 클래스,2023.08.14,"안녕하세요~ 
지역활동 1팀에서는 청구동과 인근 지역에 사시는 주민 여러분들과 함께 한달에 한번 즐겁고 새로운 추억을 쌓아가고자 합니다
많은 관심과 참여 부탁드려요^^ 

8월엔 동네 이웃들과 스콘을 구워볼까요?
 동네 빵집에서 이웃들과 모여 베이킹을 체험해봐요~

☆ 참여대상 : 청구동, 인근 지역 주민 12명
☆ 활동장소 : 베이킹아지트
☆ 오시는길 : 황학어린이 공원 인근 도보 2분, 2층에 있어요
☆ 일 시 :2023년 8월 22일(화) 오후 2시~5시

☆ 접수방법 : 전화 신청, 선착순 마감
☆ 신청 및 문의 : 02.2235.8426 김해성사회복지사",https://www.jgcrc.or.kr/notice/1120,https://www.jgcrc.or.kr/notice/1120,https://www.jgcrc.or.kr/bbs/view_image.php?bo_table=notice&fn=30684658_Fryhmcg3_32f3f45b94a91deafea5ea8f9f9bf1e62c1ea93c.jpg
7,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,광복절 휴관 안내,2023.08.07," 서울특별시중구장애인복지관은 8월 15일(화) 광복절로 휴관합니다. 
이용고객 및 주민 여러분의 양해 부탁드립니다.",https://www.jgcrc.or.kr/notice/1115,https://www.jgcrc.or.kr/notice/1115,
8,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,7월 업무추진비 공개,2023.08.04,붙임과 같이 서울특별시중구장애인복지관의 7월 업무추진비 내역을 본관 홈페이지 및 서울시 법인·시설공시시스템(https://swfss.eseoul.go.kr/)에 공개합니다.      ,https://www.jgcrc.or.kr/notice/1114,https://www.jgcrc.or.kr/notice/1114,
9,서울특별시중구장애인복지관,"['서울시', '중구']",,전체,[채용마감] 정규직 직원 채용 공고,2023.07.27,"우리 복지관에서는 붙임의 공고와 같이 정규직 직원을 채용하고자 하오니 많은 관심과 지원 바랍니다.
감사합니다.",https://www.jgcrc.or.kr/notice/1113,https://www.jgcrc.or.kr/notice/1113,
